Time (ns),Current (nA),Voltage (mV),Energy (uJ)
318175000,1613600,3596,1398.9
319294000,1613600,3596,1400.1
320290000,1613600,3595,1401.3
321154000,1613600,3595,1402.2
322152000,1613600,3595,1403.4
323237000,1613600,3596,1404.7
324354000,1613600,3595,1405.9
325353000,1613600,3595,1407.1
326436000,1613600,3595,1408.8
327304000,1613600,3595,1409.6
328301000,1613600,3595,1410.9
329642000,668400,3595,1412.5
330506000,668400,3595,1413.4
331498000,668400,3595,1413.7
332356000,668400,3594,1414.1
333349000,668400,3595,1414.9
334463000,668400,3594,1415.3
335456000,668400,3595,1416.1
336314000,668400,3595,1416.5
337313000,668400,3595,1417.3
338171000,668400,3594,1417.7
339420000,668400,3595,1418.5
340279000,668400,3594,1418.9
341273000,668400,3595,1419.7
342131000,668400,3595,1420.1
343125000,668400,3595,1420.4
344238000,668400,3595,1421.2
345232000,668400,3594,1421.6
346089000,668400,3595,1422.4
347088000,668400,3594,1422.8
347947000,668400,3594,1423.2
349195000,668400,3594,1424
350054000,668400,3593,1424.4
351047000,668400,3594,1425.2
351904000,668400,3593,1425.6
352898000,668400,3593,1426.4
354011000,668400,3593,1426.8
355004000,668400,3593,1427.6
355862000,668400,3593,1428
356860000,668400,3593,1428.8
357718000,668400,3593,1429.2
358967000,668400,3593,1429.9
359826000,668400,3593,1430.3
360820000,668400,3594,1431.1
361678000,668400,3594,1431.5
362671000,668400,3593,1431.9
363789000,668400,3594,1432.7
364782000,668400,3593,1433.1
365639000,668400,3593,1433.9
366633000,668400,3593,1434.3
367497000,668400,3592,1434.7
368746000,668400,3592,1435.5
369604000,668400,3592,1435.8
370598000,668400,3592,1436.7
371457000,668400,3592,1437
372450000,668400,3592,1437.9
373563000,668400,3592,1438.2
374556000,668400,3591,1439
375414000,668400,3591,1439.4
376407000,668400,3591,1440.2
377271000,668400,3592,1440.6
378520000,668400,3592,1441.4
379379000,668400,3592,1441.8
380372000,668400,3593,1442.6
381231000,668400,3593,1443
382224000,668400,3592,1443.4
383338000,668400,3593,1444.2
384331000,668400,3593,1444.5
385190000,668400,3593,1445.4
386183000,668400,3592,1445.7
387047000,668400,3593,1446.6
388296000,668400,3592,1446.9
389155000,668400,3593,1447.7
390148000,668400,3592,1448.1
391007000,668400,3592,1448.5
391999000,668400,3592,1449.3
393113000,668400,3592,1449.7
394106000,668400,3592,1450.5
394965000,668400,3592,1450.9
395958000,668400,3592,1451.7
396823000,668400,3593,1452.1
398072000,668400,3593,1452.9
398931000,668400,3594,1453.2
399924000,668400,3593,1454.1
400782000,668400,3594,1454.4
401775000,668400,3593,1454.8
402890000,668400,3594,1455.6
403883000,668400,3594,1456
404741000,668400,3594,1456.8
405739000,668400,3594,1457.2
406598000,668400,3594,1457.6
407853000,668400,3593,1458.4
408711000,668400,3593,1458.8
409705000,668400,3592,1459.6
410564000,668400,3592,1460
411556000,668400,3593,1460.8
412671000,668400,3592,1461.1
413664000,668400,3593,1461.9
414522000,668400,3592,1462.3
415515000,668400,3593,1463.1
416374000,668400,3593,1463.5
417629000,668400,3593,1464.3
418488000,668400,3593,1464.7
419481000,668400,3593,1465.5
420338000,668400,3594,1465.9
421331000,162800,3593,1466.3
422443000,162800,3594,1467.1
423436000,162800,3593,1467.5
424295000,162800,3594,1468.3
425289000,162800,3594,1468.7
426146000,162800,3594,1469
427400000,162800,3593,1469.8
428259000,162800,3593,1470.2
429253000,162800,3593,1471
430112000,162800,3593,1471.4
431105000,162800,3593,1472.2
432219000,162800,3593,1472.6
433211000,162800,3593,1473.4
434070000,162800,3593,1473.8
435064000,162800,3594,1474.6
435923000,162800,3593,1475
437177000,162800,3594,1475.8
438036000,162800,3593,1476.2
439030000,162800,3593,1476.5
439887000,162800,3593,1477.4
440880000,162800,3594,1477.7
441995000,162800,3594,1478.5
442989000,162800,3594,1478.9
443847000,162800,3593,1479.3
444840000,162800,3594,1480.1
445699000,162800,3593,1480.5
446957000,162800,3593,1481.3
447816000,162800,3592,1481.7
448808000,162800,3592,1482.5
449666000,162800,3592,1482.9
450660000,162800,3593,1483.7
451773000,162800,3592,1484.1
452767000,162800,3593,1484.9
453626000,162800,3593,1485.2
454619000,162800,3594,1486.1
455477000,162800,3594,1486.4
456731000,162800,3594,1487.2
457590000,162800,3595,1487.6
458582000,162800,3594,1488
459441000,162800,3596,1488.8
460434000,162800,3595,1489.2
461547000,162800,3596,1490
462540000,162800,3596,1490.4
463399000,162800,3596,1490.8
464392000,162800,3595,1491.6
465250000,162800,3595,1492
466499000,162800,3595,1492.8
467363000,162800,3595,1493.1
468356000,162800,3594,1493.9
469215000,162800,3594,1494.3
470208000,162800,3595,1495.1
471321000,162800,3594,1495.5
472315000,162800,3595,1496.3
473174000,162800,3595,1496.7
474167000,162800,3595,1497.1
475024000,162800,3595,1497.9
476274000,162800,3595,1498.3
477138000,162800,3595,1499.1
478131000,162800,3595,1499.5
478990000,162800,3595,1499.8
479982000,162800,3594,1500.7
481096000,162800,3595,1501.5
482089000,162800,3595,1501.8
482947000,162800,3595,1502.2
483939000,162800,3594,1503
484797000,162800,3594,1503.4
486046000,162800,3594,1504.2
486911000,162800,3594,1504.6
487904000,162800,3594,1505.4
488767000,162800,3594,1505.8
489760000,162800,3594,1506.6
490873000,162800,3593,1507
491865000,162800,3594,1507.8
492724000,162800,3594,1508.2
493718000,162800,3594,1509
494576000,162800,3595,1509.4
495826000,162800,3595,1510.2
496684000,162800,3596,1510.5
497682000,162800,3595,1510.9
498541000,162800,3596,1511.7
499535000,162800,3595,1512.1
500648000,162800,3596,1512.9
501642000,162800,3595,1513.3
502501000,162800,3595,1513.7
503494000,162800,3594,1514.5
504353000,162800,3594,1514.9
505601000,162800,3594,1515.7
506459000,162800,3593,1516.1
507458000,162800,3593,1516.9
508316000,162800,3592,1517.3
509309000,162800,3593,1518.1
510424000,162800,3592,1518.4
511416000,162800,3593,1519.2
512274000,162800,3593,1519.6
513268000,163600,3594,1520.4
514125000,163600,3594,1520.8
515375000,163600,3594,1521.6
516232000,163600,3594,1522
517232000,163600,3594,1522.4
518089000,163600,3594,1523.2
519083000,163600,3593,1523.6
520196000,163600,3594,1524.4
521190000,163600,3593,1524.8
522049000,163600,3594,1525.1
523042000,163600,3593,1526
523900000,163600,3593,1526.3
525149000,163600,3593,1527.1
526007000,163600,3593,1527.5
527006000,163600,3593,1528.3
527865000,163600,3594,1528.7
528858000,163600,3594,1529.5
529972000,163600,3593,1529.9
530970000,163600,3594,1530.7
531829000,163600,3594,1531.1
532823000,163600,3594,1531.5
533681000,163600,3594,1532.3
534930000,163600,3594,1532.6
535787000,163600,3594,1533.5
536787000,163600,3595,1533.8
537646000,163600,3594,1534.2
538639000,163600,3594,1535
539752000,163600,3595,1535.8
540745000,163600,3594,1536.2
541603000,163600,3595,1536.6
542596000,163600,3594,1537.4
543455000,163600,3594,1537.8
544704000,163600,3593,1538.6
545562000,163600,3593,1539
546556000,163600,3594,1539.8
547421000,163600,3593,1540.2
548414000,163600,3594,1541
549528000,163600,3593,1541.3
550521000,163600,3594,1542.2
551381000,163600,3594,1542.5
552374000,163600,3594,1542.9
553231000,163600,3594,1543.7
554480000,163600,3595,1544.5
555338000,163600,3595,1544.9
556331000,163600,3594,1545.3
557195000,163600,3595,1546.1
558188000,163600,3594,1546.5
559302000,163600,3595,1547.3
560294000,163600,3595,1547.7
561152000,163600,3595,1548.1
562146000,163600,3594,1548.9
563005000,163600,3594,1549.3
564254000,163600,3594,1550
565113000,163600,3594,1550.4
566105000,163600,3594,1551.2
566970000,163600,3594,1551.6
567964000,163600,3595,1552.4
569078000,163600,3594,1552.8
570071000,163600,3595,1553.6
