Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"347505000","72193100","3575","1.97207843E7"
"348619000","72001300","3575","1.97210733E7"
"349613000","72001300","3575","1.97213315E7"
"350472000","72254600","3575","1.97215551E7"
"351464000","72254600","3575","1.97218115E7"
"352322000","72051300","3575","1.97220351E7"
"353575000","72324700","3575","1.97223612E7"
"354434000","72324700","3574","1.97225861E7"
"355427000","72381200","3575","1.97228439E7"
"356285000","72381200","3574","1.97230666E7"
"357277000","72101200","3575","1.9723324E7"
"358392000","72316700","3575","1.97236142E7"
"359384000","72316700","3576","1.9723872E7"
"360242000","72177900","3575","1.97240951E7"
"361235000","72177900","3575","1.97243537E7"
"362320000","72203700","3575","1.97246351E7"
"363439000","72341300","3575","1.97249266E7"
"364432000","72341300","3575","1.97251857E7"
"365291000","72254600","3574","1.97254084E7"
"366285000","72254600","3575","1.9725667E7"
"367365000","72224400","3575","1.97259476E7"
"368479000","72189300","3576","1.9726237E7"
"369472000","72189300","3575","1.97264952E7"
"370552000","72303200","3576","1.97267766E7"
"371410000","72303200","3575","1.97270001E7"
"372403000","72342900","3575","1.97272588E7"
"373523000","72613900","3575","1.97275515E7"
"374516000","72613900","3574","1.97278097E7"
"375375000","72216300","3574","1.97280329E7"
"376367000","72216300","3574","1.97282915E7"
"377225000","72139600","3574","1.97285134E7"
"378473000","72302700","3574","1.97288382E7"
"379330000","72302700","3574","1.97290606E7"
"380323000","72139600","3575","1.97293188E7"
"381181000","72139600","3575","1.97295423E7"
"382173000","72202900","3574","1.97297997E7"
"383293000","72613900","3574","1.97300925E7"
"384287000","72613900","3575","1.97303511E7"
"385145000","72342900","3575","1.97305747E7"
"386138000","72342900","3575","1.97308324E7"
"387218000","72190100","3574","1.97311134E7"
"388331000","72294600","3574","1.97314032E7"
"389325000","72294600","3574","1.9731661E7"
"390184000","72166400","3574","1.97318846E7"
"391177000","72166400","3574","1.9732144E7"
"392258000","72507000","3574","1.97324258E7"
"393378000","72404600","3574","1.97327178E7"
"394370000","72404600","3574","1.9732976E7"
"395451000","72303200","3574","1.97332574E7"
"396310000","72303200","3573","1.97334801E7"
"397302000","72114600","3573","1.97337379E7"
"398416000","72147800","3573","1.97340273E7"
"399408000","72147800","3573","1.97342846E7"
"400266000","72202900","3573","1.97345082E7"
"401259000","72202900","3574","1.97347664E7"
"402116000","72266300","3574","1.97349896E7"
"403370000","72437900","3573","1.97353165E7"
"404234000","72437900","3573","1.97355409E7"
"405225000","72218100","3573","1.97357987E7"
"406084000","72218100","3573","1.97360219E7"
"407077000","72128100","3573","1.97362796E7"
"408191000","72147800","3573","1.9736569E7"
"409183000","72147800","3572","1.97368272E7"
"410041000","72291300","3573","1.97370504E7"
"411034000","72291300","3573","1.9737309E7"
"412114000","72337400","3573","1.97375904E7"
"413234000","72300000","3573","1.97378819E7"
"414227000","72300000","3573","1.97381405E7"
"415307000","72359800","3573","1.97384219E7"
"416166000","72359800","3573","1.97386442E7"
"417160000","72064800","3573","1.97389024E7"
"418274000","72253000","3573","1.97391922E7"
"419266000","72253000","3574","1.97394509E7"
"420347000","72337400","3573","1.97397322E7"
"421206000","72337400","3574","1.97399554E7"
"422199000","72532800","3574","1.97402157E7"
"423318000","72131900","3574","1.97405064E7"
"424311000","72131900","3575","1.97407646E7"
"425170000","72254600","3575","1.97409882E7"
"426164000","72254600","3575","1.97412463E7"
"427022000","72342900","3575","1.97414704E7"
"428269000","72057900","3575","1.97417939E7"
"429128000","72057900","3575","1.97420179E7"
"430121000","72406200","3575","1.97422766E7"
"430980000","72406200","3575","1.9742501E7"
"431972000","72557900","3575","1.974276E7"
"433091000","72027200","3575","1.97430503E7"
"434083000","72027200","3575","1.97433085E7"
"434941000","72266300","3575","1.97435316E7"
"435933000","72266300","3574","1.97437898E7"
"437014000","72246700","3575","1.97440708E7"
"438129000","72253000","3575","1.97443606E7"
"439122000","72253000","3575","1.97446184E7"
"440200000","72347900","3575","1.97449002E7"
"441058000","72347900","3575","1.97451238E7"
"442052000","72381200","3575","1.97453828E7"
"443394000","72333100","3575","1.97457321E7"
"444252000","72333100","3575","1.97459553E7"
"445245000","72177900","3575","1.9746213E7"
"446330000","72226800","3575","1.97464953E7"
"447190000","72226800","3575","1.97467189E7"
"448438000","72118400","3575","1.97470424E7"
"449297000","72118400","3575","1.9747266E7"
"450289000","72406200","3574","1.97475251E7"
"451148000","72406200","3573","1.97477487E7"
"452141000","72406200","3574","1.97480077E7"
"453259000","71963600","3574","1.97482975E7"
"454257000","71963600","3574","1.97485574E7"
"455115000","72382700","3574","1.9748781E7"
"456107000","72382700","3574","1.97490383E7"
"456966000","72153000","3574","1.97492619E7"
"458214000","72339800","3574","1.97495867E7"
"459073000","72339800","3574","1.97498103E7"
"460065000","72342900","3574","1.97500689E7"
"460924000","72342900","3574","1.97502925E7"
"461917000","72317900","3574","1.97505511E7"
"463037000","72195300","3574","1.97508422E7"
"464031000","72195300","3574","1.97511008E7"
"465110000","72246700","3574","1.97513814E7"
"465969000","72246700","3574","1.97516037E7"
"466962000","71963100","3574","1.97518611E7"
"468298000","72294100","3574","1.97522087E7"
"469156000","72294100","3574","1.97524323E7"
"470150000","72444500","3574","1.97526917E7"
"471230000","72677700","3575","1.97529744E7"
"472089000","72677700","3574","1.9753198E7"
"473342000","72298400","3574","1.97535241E7"
"474200000","72298400","3574","1.97537472E7"
"475193000","72114600","3573","1.97540046E7"
"476052000","72114600","3574","1.97542273E7"
"477044000","72216300","3574","1.97544859E7"
"478159000","72147800","3574","1.97547753E7"
"479152000","72147800","3574","1.97550344E7"
"480011000","72507800","3574","1.97552588E7"
"481004000","72507800","3574","1.9755517E7"
"481862000","72153000","3574","1.97557397E7"
"483116000","72250900","3574","1.97560659E7"
"483975000","72250900","3574","1.97562886E7"
"484968000","72191300","3575","1.97565472E7"
