Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"356166000","693800","3597","900.3"
"357246000","693800","3596","902.9"
"358324000","693800","3597","905.9"
"359409000","693800","3596","908.4"
"360488000","693800","3597","911.4"
"361822000","693800","3597","914.3"
"362901000","693800","3597","917.3"
"363980000","693800","3597","919.9"
"365058000","693800","3597","922.4"
"366137000","693800","3597","925.4"
"367471000","693800","3597","928.3"
"368549000","693800","3597","931.3"
"369637000","693800","3597","933.9"
"370716000","693800","3597","936.4"
"371795000","693800","3597","939.4"
"373129000","693800","3596","942.3"
"374207000","686500","3597","944.9"
"375285000","686500","3597","947.9"
"376363000","686500","3596","950.4"
"377442000","686500","3597","953.4"
"378777000","686500","3596","956.3"
"379862000","686500","3597","959.3"
"380939000","686500","3597","961.9"
"382018000","686500","3597","964.4"
"383097000","686500","3597","967.4"
"384431000","686500","3596","970.3"
"385509000","686500","3597","973.3"
"386589000","686500","3596","975.9"
"387668000","686500","3597","978.4"
"388747000","686500","3597","981.4"
"390086000","686500","3597","984.3"
"391164000","686500","3597","987.3"
"392242000","686500","3596","989.9"
"393321000","686500","3597","992.4"
"394400000","686500","3596","995.4"
"395735000","686500","3597","998.3"
"396813000","686500","3597","1001.3"
"397892000","691700","3597","1003.9"
"398971000","691700","3597","1006.4"
"400055000","691700","3597","1009.4"
"401390000","691700","3598","1012.8"
"402468000","691700","3597","1015.3"
"403547000","691700","3597","1017.9"
"404626000","691700","3597","1020.8"
"405706000","691700","3597","1023.4"
"407041000","691700","3597","1026.8"
"408120000","691700","3596","1029.3"
"409203000","691700","3596","1031.9"
"410282000","691700","3596","1034.8"
"411366000","691700","3597","1037.4"
"412701000","691700","3597","1040.8"
"413780000","691700","3597","1043.3"
"414859000","691700","3597","1046.3"
"415937000","691700","3597","1048.8"
"417015000","691700","3597","1051.4"
"418349000","691700","3597","1054.8"
"419433000","691700","3596","1057.3"
"420513000","691700","3596","1060.3"
"421592000","691300","3596","1062.8"
"422671000","691300","3597","1065.8"
"424006000","691300","3597","1068.8"
"425084000","691300","3597","1071.8"
"426161000","691300","3596","1074.3"
"427240000","691300","3596","1076.8"
